date,actual,predicted,error,pct_error,train_size
2019Q4,1436.0,1375.0,61.0,4.24,16
2020Q1,2119.0,1763.0,356.0,16.78,17
2020Q2,1815.0,1751.0,64.0,3.55,18
2020Q3,1568.0,1798.0,-230.0,-14.64,19
2020Q4,1618.0,1721.0,-103.0,-6.34,20
2021Q1,1845.0,1705.0,140.0,7.57,21
2021Q2,1836.0,1662.0,174.0,9.48,22
2021Q3,1798.0,1575.0,223.0,12.42,23
2021Q4,1694.0,1809.0,-115.0,-6.79,24
2022Q1,1712.0,1728.0,-16.0,-0.91,25
2022Q2,1991.0,1693.0,298.0,14.95,26
2022Q3,2143.0,1792.0,351.0,16.36,27
2022Q4,1997.0,1833.0,164.0,8.23,28
2023Q1,2294.0,1848.0,446.0,19.46,29
2023Q2,2057.0,1840.0,217.0,10.55,30
2023Q3,2385.0,2165.0,220.0,9.2,31
2023Q4,2276.0,2066.0,210.0,9.24,32
2024Q1,1983.0,2034.0,-51.0,-2.59,33
2024Q2,2115.0,2011.0,104.0,4.92,34
2024Q3,2002.0,2046.0,-44.0,-2.2,35
2024Q4,2165.0,2011.0,154.0,7.11,36
